id,wrkstat,marital,agewed,sibs,childs,age,birthmo,zodiac,educ,degree,padeg,madeg,sex,race,rincom91
55,1,1,19,6,3,27,9,6,15,1,1,1,2,2,4
56,1,5,0,1,0,36,10,7,12,1,7,0,1,1,6
58,1,5,0,2,0,42,7,4,12,1,7,1,2,3,16
59,1,1,19,2,3,31,11,8,16,3,7,0,2,1,11
60,1,5,0,8,0,44,5,3,16,3,0,0,2,3,13
61,1,1,24,5,3,39,4,2,12,1,0,0,1,1,13
65,1,1,18,4,2,39,9,6,15,1,8,0,2,1,17
66,1,1,22,3,2,45,11,9,14,1,1,0,1,2,17
67,1,1,23,1,3,46,8,6,20,4,0,7,1,1,21
68,1,5,0,1,0,23,3,1,16,3,4,4,2,1,15
69,2,1,22,1,2,37,9,7,16,3,1,1,2,1,9
70,1,5,0,3,0,27,6,4,13,1,1,1,1,1,17
71,1,5,0,3,0,23,8,5,16,3,7,1,2,1,4
72,1,1,22,2,2,31,5,3,16,3,3,2,1,1,14
75,2,1,23,2,3,41,11,8,13,1,0,8,1,2,12
76,2,2,35,3,0,70,4,1,12,0,7,0,2,2,9
78,4,1,25,8,3,41,12,9,12,1,1,1,1,2,10
83,1,1,22,1,1,29,6,3,14,2,7,3,2,2,12
84,3,5,0,2,2,51,8,5,13,1,1,1,2,2,12
85,1,1,22,0,0,35,7,4,16,3,1,1,1,1,16
86,1,1,25,3,1,36,7,4,14,1,0,1,1,1,18
87,1,1,27,2,2,41,12,10,12,1,1,1,1,1,17
88,1,5,0,1,0,62,3,12,18,3,0,8,2,1,12
89,1,1,21,1,2,44,11,9,12,1,0,1,1,1,21
91,1,1,30,3,9,49,2,11,15,1,8,0,1,1,18
92,1,5,0,4,0,62,11,9,12,1,1,7,2,1,15
93,5,1,21,1,4,62,3,1,18,4,0,1,2,1,10
94,2,1,29,2,1,49,12,10,13,1,3,1,2,1,22
96,1,1,26,1,2,45,6,3,18,4,4,1,1,1,21
100,1,5,0,3,0,31,7,4,16,3,3,2,1,1,17
101,3,5,0,3,0,27,3,12,11,0,7,1,2,1,4
102,1,1,20,2,2,45,11,8,15,1,0,1,1,1,20
103,1,1,24,2,0,27,9,6,16,3,1,1,1,1,15
105,1,5,0,2,0,28,7,4,13,1,1,1,1,1,16
106,3,1,20,7,5,52,5,2,14,1,1,1,1,1,18
107,5,1,25,9,5,69,2,11,7,0,0,0,1,1,9
108,1,1,27,5,0,43,11,8,12,1,0,0,1,1,18
109,1,1,24,1,0,28,3,12,16,3,1,0,1,1,15
110,2,1,18,4,2,52,10,7,14,2,0,0,2,1,1
112,2,1,20,3,3,37,2,11,17,3,0,1,2,1,17
113,2,1,19,4,2,36,9,6,12,1,1,3,2,1,22
114,1,1,19,6,0,24,1,11,12,1,1,8,2,1,10
115,1,1,37,2,2,51,2,12,19,4,3,3,1,1,21
116,1,1,20,8,3,57,4,1,17,3,1,1,1,1,21
117,1,1,34,3,3,72,4,2,16,3,1,1,1,1,21
118,2,1,28,1,3,45,7,4,18,4,1,1,2,1,8
119,1,1,25,2,2,32,6,4,18,4,1,2,1,1,20
122,1,5,0,5,0,50,10,7,15,2,0,7,1,2,16
124,4,2,30,11,1,59,2,11,16,1,0,0,1,3,9
126,7,1,26,3,2,37,4,2,12,1,0,0,2,1,2
127,2,1,18,19,8,54,5,2,8,0,0,0,2,1,1
128,1,1,18,0,2,43,11,8,6,0,7,8,1,1,14
129,1,9,99,2,9,99,11,8,18,3,3,4,1,2,22
131,5,1,18,0,4,60,7,4,14,1,1,1,2,2,17
132,1,1,19,0,5,60,4,2,13,1,1,0,1,2,21
133,1,1,28,1,2,46,11,8,16,3,3,3,2,2,22
136,1,1,26,1,0,27,1,10,15,1,7,1,1,1,15
137,1,3,19,1,2,45,6,3,12,1,1,1,2,1,16
138,1,1,21,2,4,51,1,11,16,3,0,0,1,1,20
139,1,1,28,1,0,38,12,9,16,3,3,3,1,1,19
140,1,1,27,1,1,44,12,10,20,4,7,0,1,3,17
141,1,1,29,3,2,40,7,4,18,4,1,2,1,1,19
144,2,1,19,2,2,40,6,3,14,1,1,1,2,1,22
145,7,1,29,3,1,34,9,7,14,1,3,1,2,1,9
146,3,2,17,0,3,54,7,5,12,1,8,1,2,1,8
147,1,1,21,5,2,59,5,3,20,4,0,0,1,1,21
148,1,5,0,6,0,36,11,8,12,1,1,1,1,1,19
149,1,1,30,5,1,35,11,9,14,1,0,0,1,1,17
150,1,1,19,4,4,30,2,11,14,1,7,0,2,1,14
151,3,1,20,2,1,34,5,3,16,3,2,1,2,1,13
155,1,5,0,5,0,33,2,12,16,3,1,1,2,1,18
156,2,1,32,1,1,38,3,12,17,3,4,3,2,1,22
157,1,1,27,1,2,49,3,12,20,4,4,4,2,1,22
158,1,5,0,2,0,56,3,12,18,4,2,1,1,1,19
159,1,1,31,1,2,55,7,5,20,4,0,1,1,1,21
160,1,1,36,4,0,61,12,9,20,4,3,1,2,1,18
161,1,5,0,5,0,34,3,12,16,3,1,1,1,1,8
162,2,5,0,3,0,43,8,5,17,3,3,3,2,1,11
164,1,1,25,4,0,48,3,12,16,4,8,8,1,2,21
165,1,4,31,4,2,43,6,4,16,3,8,1,2,1,3
167,4,4,26,4,2,35,7,4,12,0,1,1,1,1,17
170,2,2,21,3,2,59,5,3,12,1,1,0,2,1,8
171,1,3,24,3,0,38,12,10,12,1,1,8,1,1,20
172,2,1,22,4,2,43,8,6,15,1,1,2,2,1,15
173,1,1,26,3,1,31,1,11,12,1,3,3,1,1,14
175,1,5,0,1,0,40,7,5,16,3,4,4,1,1,16
176,1,5,0,2,0,27,1,11,17,3,1,1,1,1,16
177,1,3,38,2,0,52,8,6,16,3,4,1,1,1,15
178,1,1,29,4,0,32,6,3,12,1,0,7,2,1,17
180,1,1,20,2,3,55,4,1,13,1,0,1,2,1,14
181,1,1,20,3,3,53,7,5,16,3,4,1,2,1,9
186,2,2,16,10,5,72,6,3,8,0,0,0,2,1,8
188,7,2,20,5,2,76,99,99,14,0,7,0,2,1,22
189,1,1,23,4,1,30,99,99,16,2,1,1,1,1,18
191,1,3,22,3,1,34,1,11,12,1,7,1,1,1,17
193,1,1,21,3,0,43,4,1,16,3,0,3,2,1,13
194,1,1,29,5,2,37,10,8,19,4,4,4,1,1,9
197,5,1,18,0,1,75,1,10,12,1,0,0,2,1,8
199,1,1,18,5,2,42,6,4,12,1,1,0,2,3,11
202,3,5,0,1,0,55,12,9,12,1,1,1,2,1,18
203,1,2,32,12,2,66,1,10,20,4,0,0,1,2,20
204,8,1,25,0,2,69,4,2,16,3,3,1,1,1,22
205,1,3,21,7,5,57,7,4,14,2,7,0,2,2,18
206,1,1,35,0,3,57,6,3,18,4,7,3,2,1,10
209,1,5,0,1,0,36,8,5,17,3,1,1,1,2,17
210,7,1,29,3,0,32,1,11,18,4,3,3,2,1,18
212,6,1,21,4,1,30,3,1,14,1,1,3,2,1,12
213,2,1,20,1,2,59,6,3,13,1,1,0,2,1,15
214,1,1,23,3,5,39,7,5,17,3,1,0,1,1,21
215,1,3,99,4,0,49,8,5,14,1,0,1,2,1,16
216,1,3,31,3,2,51,12,9,13,1,1,1,2,1,11
219,1,1,26,2,2,53,10,7,18,4,0,1,1,1,17
220,1,1,18,4,4,41,10,7,13,1,1,1,2,1,4
221,1,3,20,4,1,38,7,5,11,0,0,0,1,1,11
223,2,1,22,2,2,58,7,4,17,4,0,0,1,1,18
226,2,2,16,7,0,71,1,10,6,0,9,9,2,2,5
227,1,1,26,7,5,59,9,6,12,1,0,0,2,2,8
228,1,1,27,3,0,33,10,7,14,1,1,1,2,1,15
229,1,1,26,2,3,50,11,9,12,1,1,0,1,1,19
230,1,1,27,1,2,51,3,1,14,1,1,7,2,1,18
231,1,1,20,0,2,60,2,12,12,1,1,1,2,1,15
233,1,1,30,5,3,41,9,6,17,3,3,3,2,3,20
235,1,5,0,8,0,57,6,4,12,1,0,0,1,1,15
237,1,1,22,1,3,50,10,7,12,1,0,1,2,1,22
239,1,2,26,2,2,50,11,8,16,3,8,1,2,1,22
240,2,1,20,3,3,53,3,1,13,1,1,1,2,1,22
241,1,1,28,3,1,34,11,8,16,3,1,1,1,1,22
242,1,1,18,3,2,47,9,6,12,1,7,1,2,1,15
243,2,1,18,2,2,45,12,9,14,2,0,3,2,1,14
244,1,1,20,4,3,35,5,3,19,4,7,1,1,1,14
246,1,1,24,5,5,37,10,7,14,2,1,2,1,1,16
247,1,4,27,5,2,41,12,10,17,3,1,1,2,1,17
248,1,5,0,3,0,27,7,4,14,1,1,2,2,1,16
249,1,5,0,0,0,27,10,8,16,3,3,3,2,1,15
250,1,1,25,4,0,50,6,3,14,2,8,1,1,1,19
251,1,1,27,2,0,28,5,2,16,3,2,1,1,1,16
252,1,1,29,2,0,31,11,9,16,3,1,1,1,1,13
253,1,5,0,1,0,51,8,5,12,1,9,1,1,1,15
255,1,1,21,5,4,41,7,4,11,0,9,9,1,3,10
256,1,5,0,9,0,26,2,11,15,1,7,0,1,3,11
259,1,1,26,2,3,43,6,3,16,3,1,8,1,1,21
260,1,1,33,5,2,44,2,11,16,3,2,1,1,1,20
261,2,1,30,3,2,43,4,1,15,1,3,1,2,1,22
262,1,1,22,7,2,39,1,10,15,1,1,1,1,1,18
263,1,1,23,2,3,54,10,8,16,3,0,0,2,1,17
264,1,3,24,3,2,47,3,1,14,1,1,1,2,1,18
266,1,1,28,2,2,47,7,4,18,4,1,0,2,1,22
268,7,1,25,6,3,39,2,11,10,0,0,0,1,2,12
271,2,5,0,5,2,27,3,1,14,1,3,1,2,1,2
272,1,3,16,3,2,37,9,6,12,1,1,1,2,3,14
274,1,4,18,10,5,52,3,12,9,0,0,0,2,1,13
276,1,3,20,1,3,54,8,5,12,1,0,0,2,1,13
277,2,1,24,0,3,65,7,5,13,1,0,0,1,1,3
279,2,1,20,13,2,49,4,2,8,0,1,0,2,1,6
280,1,1,22,9,1,24,6,4,12,1,2,3,2,2,15
281,1,1,25,4,2,43,6,4,13,1,0,1,1,1,15
282,1,1,20,8,2,41,4,2,15,1,7,0,1,2,17
283,1,3,18,16,2,41,3,1,12,1,0,0,2,2,13
284,1,1,19,3,2,46,11,8,12,1,1,1,2,2,9
286,1,5,0,2,0,33,3,12,16,3,3,1,1,1,15
287,1,4,23,2,0,33,3,1,14,2,1,3,2,1,10
288,1,1,21,4,3,45,2,11,12,1,1,1,2,1,9
290,1,5,0,5,0,24,3,12,16,3,3,1,1,1,10
291,1,1,23,2,2,45,12,10,12,1,8,1,1,1,15
294,4,1,20,4,0,30,4,1,12,1,0,8,2,1,10
296,1,3,19,5,2,46,11,8,12,1,1,0,2,1,18
297,2,1,19,2,4,64,2,11,13,1,0,0,2,1,13
300,1,1,26,0,1,41,9,6,20,4,1,1,2,1,17
302,1,1,23,0,1,37,8,5,18,4,0,3,1,1,20
303,1,1,20,3,2,36,4,1,14,2,1,1,2,1,9
304,1,1,23,6,2,39,12,10,16,3,3,1,2,1,18
306,1,1,21,5,2,44,8,5,14,2,7,1,1,1,16
309,1,1,30,3,1,35,11,8,19,4,3,0,2,1,20
310,1,1,23,1,0,26,10,7,13,1,1,1,1,1,15
311,1,1,20,8,2,48,9,6,12,1,8,1,2,1,11
313,1,1,24,4,2,26,3,12,12,1,1,1,1,1,11
315,1,3,18,7,2,36,7,4,12,1,1,0,1,1,18
317,1,1,40,1,0,41,2,12,14,1,1,1,1,1,22
318,1,3,23,2,2,43,11,9,12,1,1,1,1,1,16
319,5,2,20,3,4,66,8,5,12,1,0,0,2,1,12
321,2,1,23,12,2,29,6,4,16,3,4,3,2,1,12
322,1,3,23,0,1,41,9,6,16,3,3,1,2,1,15
323,2,5,0,3,0,19,9,7,11,0,7,3,2,1,2
324,1,1,28,6,4,47,11,8,18,4,1,1,1,1,20
325,1,3,18,3,4,49,7,4,13,1,1,1,1,1,17
326,1,1,18,7,4,58,7,5,12,1,0,0,1,1,17
327,1,5,0,5,0,19,7,4,12,1,4,3,2,1,7
328,1,1,24,5,2,35,3,12,12,1,0,1,1,1,12
329,2,1,26,5,0,30,8,5,12,1,0,7,2,1,16
330,1,1,20,5,2,42,1,10,15,2,1,1,1,1,16
331,1,3,20,0,4,54,6,3,12,1,0,0,2,1,16
332,2,1,22,3,2,43,6,3,12,1,0,1,2,1,1
333,1,1,19,3,2,33,9,7,16,3,1,1,2,1,15
334,2,5,0,4,0,21,12,9,12,1,1,1,1,1,6
335,1,1,19,2,1,26,11,8,12,1,0,1,1,1,11
337,1,1,26,2,2,34,10,7,17,3,1,1,1,1,15
338,2,3,19,2,0,25,2,11,15,1,0,3,2,1,10
339,1,1,18,2,2,43,2,11,11,0,0,1,1,1,19
340,1,1,26,1,6,65,12,9,14,2,0,3,1,1,18
342,1,5,0,1,0,22,2,12,15,1,4,3,2,1,4
344,2,5,0,4,0,22,8,5,15,2,2,2,2,1,5
345,2,5,0,2,0,22,3,12,15,1,1,3,1,1,3
348,7,1,19,0,0,21,7,4,11,0,1,0,2,1,2
349,1,1,22,3,3,33,1,11,12,1,1,1,1,1,16
352,1,1,21,3,2,40,4,1,12,0,0,1,1,1,15
353,1,5,0,5,0,25,6,3,16,3,4,2,1,1,8
354,1,1,21,0,3,51,1,10,12,1,0,1,1,1,11
356,7,1,26,2,0,30,8,5,14,1,7,1,2,1,9
358,3,1,17,3,3,40,12,9,16,1,1,1,2,1,12
359,2,3,99,1,2,46,11,9,12,1,2,1,2,1,3
360,1,1,21,8,2,40,4,1,12,1,7,1,2,2,18
361,1,3,99,9,2,43,7,4,10,0,1,0,1,3,21
362,1,1,19,2,2,46,1,10,12,1,4,1,1,1,18
364,2,1,20,3,2,32,5,3,12,1,1,0,1,1,14
365,1,1,19,4,3,37,8,5,12,1,1,8,1,1,19
367,7,1,24,4,1,32,5,2,12,1,0,0,2,2,1
368,1,1,19,1,3,52,7,4,6,0,4,1,1,1,16
370,3,3,21,3,3,43,1,11,12,1,8,1,2,1,6
371,1,5,0,4,1,25,10,7,12,1,0,1,1,2,13
372,1,1,23,3,3,46,7,4,12,1,1,8,1,1,18
375,1,3,19,1,2,38,2,11,11,1,1,1,1,3,13
376,1,1,21,0,0,23,4,2,14,1,0,1,1,1,11
383,1,1,26,1,1,59,3,1,16,3,0,0,2,1,16
386,1,5,0,5,0,47,12,9,13,1,0,1,1,1,12
388,1,1,30,1,2,35,1,10,11,0,8,8,1,2,6
389,1,3,18,3,4,44,2,11,12,1,7,0,2,2,14
391,3,3,16,2,2,41,11,9,11,1,1,0,2,1,17
392,1,1,28,7,2,38,8,6,14,2,0,0,2,2,13
393,1,1,23,8,2,36,5,2,18,4,0,0,2,2,14
394,1,1,27,0,2,43,10,7,13,1,2,1,1,2,15
397,1,5,0,6,2,25,3,1,14,1,1,1,1,2,11
400,1,1,24,3,2,36,2,12,16,3,7,2,1,1,22
401,1,1,22,2,2,35,1,10,13,1,0,1,1,1,21
403,1,3,21,3,4,51,5,2,13,1,1,0,2,1,17
404,1,3,20,3,2,58,3,12,12,1,1,7,2,1,9
405,1,1,27,1,1,40,10,8,12,1,0,0,2,1,10
408,1,1,25,4,2,52,7,5,12,1,0,0,1,2,22
410,1,1,24,99,3,53,10,7,13,1,0,1,2,1,9
411,2,1,19,0,3,63,12,9,14,2,0,0,2,1,1
414,1,3,25,2,1,38,8,5,14,2,1,1,2,1,18
415,2,3,20,4,1,49,9,7,16,3,1,1,1,1,6
416,2,1,19,3,2,50,6,3,14,2,1,1,2,1,5
418,4,1,18,9,3,57,8,5,8,0,0,0,1,2,2
422,1,1,29,4,2,58,8,5,12,1,0,1,1,1,11
423,1,1,20,3,2,45,1,11,13,1,1,0,2,1,11
424,1,5,0,1,0,20,8,5,12,1,3,1,1,1,4
425,2,1,31,8,0,78,6,3,9,0,8,0,1,1,6
427,1,1,30,6,1,39,10,7,14,2,0,0,1,1,8
429,2,3,18,7,1,36,9,6,12,1,1,0,2,3,3
430,1,1,26,19,7,51,7,4,0,0,0,0,2,3,3
431,1,2,20,5,1,78,10,7,18,3,0,0,2,1,16
432,1,1,18,4,2,25,5,3,12,1,0,0,2,3,11
434,1,1,22,2,4,36,5,3,19,4,1,3,1,1,17
437,3,1,20,3,2,47,3,12,14,2,0,0,2,1,11
438,2,5,0,1,0,21,11,8,13,1,1,1,2,1,10
443,1,1,19,2,2,40,9,6,12,1,1,1,2,1,7
444,7,1,16,9,4,38,9,7,12,1,0,0,2,1,3
453,4,5,0,3,0,39,5,2,12,1,1,0,1,1,13
454,1,3,18,2,0,31,9,7,12,1,1,1,2,1,12
455,1,1,22,1,3,51,8,5,16,3,2,1,2,1,8
456,1,1,22,2,3,37,10,7,17,3,1,1,1,1,14
457,2,1,18,2,2,32,2,12,12,1,1,1,2,1,3
459,1,1,22,1,2,47,1,11,16,3,3,0,1,1,18
467,1,1,20,1,1,64,12,10,12,1,0,0,1,1,15
468,5,1,21,2,2,64,4,1,12,1,7,8,2,1,2
475,1,1,20,2,0,27,2,11,14,2,1,0,2,1,11
476,7,1,18,2,2,21,4,2,9,1,1,0,2,1,4
477,1,5,0,3,0,32,3,1,20,3,3,2,2,3,11
478,1,1,24,3,3,40,11,8,20,4,3,1,1,1,19
479,1,3,22,6,2,45,11,8,17,3,0,0,2,1,18
480,1,1,24,2,0,26,1,11,12,1,0,1,2,3,15
482,1,5,0,1,0,46,1,10,20,4,1,0,2,1,16
483,1,5,0,1,0,32,8,5,18,4,3,3,2,1,12
484,1,5,0,1,0,36,5,2,16,3,4,3,1,1,16
486,1,5,0,11,0,30,8,6,14,1,1,1,2,1,11
487,2,5,0,1,0,23,6,3,16,1,3,3,2,1,4
488,1,3,16,8,6,51,4,2,12,1,0,0,2,1,9
490,1,1,37,4,1,40,7,5,19,4,1,1,1,1,21
491,1,1,23,0,3,51,1,11,16,3,2,1,1,1,21
492,1,1,18,6,2,54,5,2,16,3,1,1,2,1,10
494,1,1,25,5,0,27,1,10,16,3,3,1,1,3,12
495,2,2,32,2,0,55,9,6,6,0,3,0,2,1,3
497,7,1,21,6,1,61,2,12,8,0,0,0,2,1,3
498,2,3,18,4,2,38,10,7,12,1,0,0,2,1,9
500,2,3,20,2,2,50,4,1,12,1,0,1,2,1,3
504,1,1,21,1,3,63,4,1,17,3,0,0,1,1,21
505,1,1,28,2,2,43,10,7,18,4,0,1,2,1,16
507,4,1,26,4,3,47,6,4,13,1,0,1,1,1,12
508,1,3,21,1,1,44,2,11,14,2,0,1,2,1,17
510,1,4,19,6,2,32,2,11,14,1,1,1,2,1,22
511,2,5,0,1,0,20,5,3,13,1,1,1,1,1,9
512,1,1,20,0,2,50,6,4,12,1,0,0,1,1,16
513,1,1,23,2,2,31,3,12,14,1,1,1,2,1,12
516,5,1,26,3,2,66,2,12,10,0,8,8,1,1,1
517,1,5,0,2,0,29,3,12,14,2,7,3,1,1,18
518,1,3,19,1,2,30,6,3,11,1,7,1,1,1,11
519,1,5,0,3,0,34,8,6,15,2,3,4,1,2,16
520,1,1,17,4,4,63,3,12,12,1,0,1,2,2,14
522,1,1,19,7,7,55,1,10,13,1,0,0,2,2,9
524,1,5,0,3,0,36,7,4,13,1,7,1,1,2,8
526,1,3,22,1,0,39,1,10,12,1,1,1,1,1,16
527,1,5,0,2,0,28,11,9,19,3,1,4,2,1,5
528,2,5,0,1,0,23,6,4,15,1,4,4,1,1,5
531,1,1,18,2,1,46,11,8,14,1,1,1,2,1,16
532,6,5,0,4,0,42,1,10,20,4,0,0,1,1,15
533,1,1,26,2,2,39,2,12,19,4,3,4,2,1,15
534,1,3,27,1,5,77,1,10,14,1,8,1,2,1,22
540,1,1,25,0,2,49,3,1,17,3,7,0,1,1,17
542,1,3,37,5,2,56,3,12,18,4,1,1,2,3,19
543,1,3,21,4,3,28,8,5,12,1,0,1,1,1,14
544,7,1,21,12,3,30,7,5,12,1,0,0,2,1,12
545,1,1,20,9,0,24,7,4,12,1,0,0,1,1,2
546,1,1,32,3,1,37,11,9,18,4,1,1,2,1,19
547,1,2,24,5,3,48,7,4,12,1,0,0,2,1,12
553,3,5,0,1,0,22,4,1,16,2,3,1,2,1,11
555,1,1,20,6,5,49,9,6,15,2,0,1,1,1,14
559,1,3,23,3,0,36,8,5,9,0,1,1,1,1,13
560,1,3,19,4,2,35,12,9,12,1,1,1,1,1,2
561,1,3,22,4,1,36,12,9,12,1,0,0,2,1,9
562,1,3,17,3,0,37,8,6,13,1,8,1,2,1,8
565,1,3,99,3,4,55,5,2,14,2,8,1,1,1,16
566,1,1,23,1,1,39,6,4,16,3,0,1,1,1,18
570,1,1,26,1,4,72,4,1,12,1,0,1,1,1,17
571,1,1,21,1,2,52,1,10,18,3,0,0,2,1,11
572,1,1,17,3,2,38,10,7,13,1,1,1,2,1,16
573,1,1,22,1,3,52,2,11,14,2,1,3,1,1,19
575,2,1,20,4,4,58,10,8,13,1,0,0,2,1,2
577,1,3,20,0,2,43,2,12,13,1,1,1,1,1,12
578,1,5,0,5,0,24,4,1,12,1,0,1,1,1,11
580,1,3,18,3,3,56,2,12,11,0,0,0,2,1,11
585,1,1,21,4,1,28,10,7,14,2,1,1,2,1,11
586,1,1,27,3,2,40,9,6,15,2,7,0,1,1,17
587,1,5,0,2,0,24,10,7,9,0,1,1,1,1,11
588,1,1,21,5,3,49,8,5,9,0,7,0,1,1,14
589,2,1,19,2,2,42,10,7,12,1,0,1,2,1,1
593,5,1,23,1,1,59,9,6,12,1,1,0,2,1,12
594,1,1,21,1,1,47,3,12,12,1,7,0,1,1,11
599,2,3,18,4,1,43,3,1,12,1,1,1,1,1,2
600,1,1,18,9,2,35,6,3,12,1,0,1,2,1,14
601,1,1,22,4,2,35,9,7,12,1,1,4,1,1,16
602,1,5,0,1,0,20,1,11,12,1,1,1,2,1,5
603,1,1,33,4,0,37,6,3,14,2,1,1,1,1,14
604,2,5,0,6,0,24,9,6,14,1,0,1,2,1,6
606,7,1,24,1,1,28,1,10,16,3,1,1,2,1,10
607,1,1,23,1,2,51,3,1,15,1,1,1,2,1,13
609,2,3,99,3,0,36,11,9,12,1,1,1,1,1,2
611,1,1,24,4,1,44,7,4,16,3,0,1,1,1,11
612,2,2,18,8,3,73,7,4,12,1,0,0,1,1,3
613,1,3,22,2,0,28,9,7,16,3,1,1,1,1,14
614,1,1,28,11,1,51,7,4,13,1,0,1,1,1,22
615,1,1,24,6,2,37,9,6,12,1,1,1,2,1,9
622,1,3,33,7,2,40,6,3,12,1,0,0,2,1,14
624,4,3,18,8,2,34,5,2,10,0,0,0,1,1,5
625,1,1,24,6,2,47,6,3,12,1,0,1,1,1,14
629,1,1,24,2,2,43,5,2,14,1,0,1,1,1,19
630,1,1,21,4,3,43,2,12,16,3,1,1,2,1,15
631,2,1,20,2,0,21,2,11,13,1,1,1,2,1,2
636,1,3,19,6,2,27,11,8,13,2,1,1,1,1,8
638,5,1,22,3,6,71,1,11,8,0,0,0,1,1,10
640,1,5,0,4,0,39,2,11,16,3,0,1,1,1,12
641,1,1,21,12,2,45,9,7,12,1,8,1,1,1,16
642,1,1,20,3,3,35,10,7,14,1,1,1,2,1,22
643,7,1,18,3,2,42,6,4,14,1,1,1,2,1,2
644,1,1,33,3,3,65,6,3,12,1,1,1,1,1,16
645,4,5,0,3,0,26,5,2,16,3,1,1,1,1,1
646,1,1,23,12,2,45,12,9,12,1,0,0,1,1,16
647,1,1,19,2,2,46,2,11,12,1,0,0,2,1,22
648,1,3,23,9,2,47,1,11,11,1,0,0,2,1,3
651,2,5,0,0,0,25,7,5,16,2,3,3,2,1,2
654,1,1,18,1,2,39,8,5,12,1,1,1,2,1,13
655,1,1,25,3,2,52,7,4,12,1,1,1,2,1,10
656,1,5,0,3,0,99,99,99,10,0,0,0,2,1,22
657,1,1,20,1,2,51,8,6,12,1,1,1,2,1,22
658,1,5,0,1,0,28,4,1,17,3,3,1,1,1,15
660,3,4,18,3,3,48,6,3,10,0,7,0,2,1,22
662,2,1,28,1,1,31,9,6,12,1,0,1,2,1,6
664,1,1,20,2,2,37,10,7,12,1,0,0,2,1,13
665,1,1,18,4,1,55,11,8,13,1,1,1,1,1,16
666,2,1,21,1,0,40,8,5,12,1,0,0,2,1,3
667,2,5,0,3,0,20,4,1,13,1,1,1,1,1,5
676,1,1,26,2,8,63,1,10,9,0,0,0,1,1,18
677,1,1,19,1,0,21,9,7,14,1,1,1,2,1,5
678,1,1,30,5,4,41,5,3,12,1,0,1,1,1,11
679,1,5,0,2,0,33,4,2,9,0,0,0,1,1,10
680,1,5,0,14,0,21,6,3,12,1,0,8,1,2,2
681,1,3,19,7,3,29,12,9,11,0,7,0,2,2,10
688,4,5,0,7,4,40,6,3,11,0,7,0,2,2,3
690,1,1,19,2,2,41,2,11,12,1,1,1,1,1,11
692,1,1,27,4,0,33,2,11,20,4,1,1,1,1,15
695,1,2,18,5,1,58,1,10,13,1,7,0,2,1,7
