GEO_NAME,areatype,pop_size,division,region,commute,hh_chil,edu_hs,edu_coll,income,income2,no_car,female,age,senior,white,black,indian,asian,hawaiian,other,hispanic
"Santa Rosa-Petaluma, CA  Metro Area",2,472102,1,1,25.5,28.1,86.2,32.6,62368,62.368,5.1,50.4,39.4,13.6,85.4,2.3,2.5,5.3,-999999999,7.7,23.6
"Seattle-Tacoma-Bellevue, WA  Metro Area",2,3407848,1,1,27.4,29.3,91.3,37.4,64028,64.028,7.1,49.9,36.5,10.6,79.5,6.9,2.2,12.5,1,2.9,8
"Show Low, AZ  Micro Area",1,112975,2,1,20.1,31.4,79.4,12.9,34547,34.547,8.8,50.4,34.2,12.4,50.7,.3,47.7,1.3,-999999999,5,10
"Sierra Vista-Douglas, AZ  Micro Area",1,129518,2,1,19.5,27.9,82.9,22.1,45706,45.706,6.2,50.5,41.4,17.9,85.7,5.6,2.9,3,1,6.8,32.1
"Spokane, WA  Metro Area",2,468684,1,1,21.2,29.8,92.5,27.5,44719,44.719,7.1,50.9,36.7,12.9,93.9,2.7,2.7,3.1,.6,1.2,4.2
"St. George, UT  Metro Area",2,137473,2,1,17.2,36.2,90.4,21.8,46462,46.462,3.8,50.5,32,17.3,93.6,.6,2,1.3,1,2.9,8.3
"Stockton, CA  Metro Area",2,674860,1,1,29.8,38.7,74.6,18,52789,52.789,6.1,49.8,32.2,10.1,64.5,8.9,2.8,15.8,.8,13.1,37.6
"Truckee-Grass Valley, CA  Micro Area",1,97751,1,1,22.1,26,95.2,32.2,57884,57.884,3.9,50.7,46.9,18.6,95.1,-999999999,2.5,2.1,1.2,1.7,8
"Tucson, AZ  Metro Area",2,1020200,2,1,23.2,25.6,85.2,28.2,43137,43.137,8.4,51.1,37.2,15.1,81.8,4.3,4.6,3.2,.2,8.5,33.7
"Twin Falls, ID  Micro Area",1,96558,2,1,15.7,34.6,79.8,14.9,39076,39.076,3.5,50.6,34,14.2,95.2,.6,1.3,1,-999999999,3.5,19.1
"Ukiah, CA  Micro Area",1,86040,1,1,20,26.3,84,21.4,41867,41.867,4.8,49.8,40.4,15.7,86.9,.8,7.3,2.1,-999999999,6.6,21
"Vallejo-Fairfield, CA  Metro Area",2,407234,1,1,28.5,33.7,85.9,24.2,65783,65.783,5.2,49.8,36.7,11.4,60.6,16.3,2,16.8,1.6,11.3,22.8
"Visalia-Porterville, CA  Metro Area",2,429668,1,1,20.4,42.1,67.4,12.1,39997,39.997,6.2,49.6,29.4,9.5,81.9,2.4,2.4,4.1,.2,12.1,58.3
"Wenatchee-East Wenatchee, WA  Metro Area",2,109937,1,1,17.5,30.3,83,24.6,49755,49.755,4.7,50.8,38.4,14.3,86.9,-999999999,1.8,1.8,.2,11.7,25.1
"Wheeling, WV-OH  Metro Area",2,144637,1,1,22.5,24.1,86.6,18.5,39009,39.009,9.2,50.9,43.6,17.9,95.9,3.8,.9,.7,-999999999,.4,.9
"Yakima, WA  Metro Area",2,239054,1,1,19.4,39,70.1,14.6,41249,41.249,5.9,50,31.7,11.5,73.9,1.8,5.7,1.9,.2,20.6,42.4
"Yuba City, CA  Metro Area",2,165539,1,1,28,39.4,77.6,16.9,47327,47.327,6.5,49.6,32.9,11,72.9,3.2,4.4,11.7,.9,13.6,26
"Yuma, AZ  Metro Area",2,196972,2,1,18.3,38.2,69.5,13.9,38681,38.681,5.7,50.3,35.2,18.7,79.4,3.2,2.2,1.5,-999999999,15.7,57
